name,t_in,t_out,EStart,EEnd
2016004735,4,12,72.83704704,75.0
2016004735,17,75,74.15026848,75.0
2016004735,108,132,74.76825504,75.0
2016004735,141,143,72.02593968000001,72.93321821176853
2012005613,15,128,24.222469394467353,30.0
2015008802,9,20,38.3584732,40.0
2015008802,24,123,38.57734344,40.0
2016003673,13,20,22.48196819,27.82331992430918
2016003673,22,26,29.391025738467345,30.0
2016003673,62,122,22.96074684,30.0
2013008834,26,34,12.007578794467353,20.69024546113402
2013008834,77,143,17.09176122113402,29.565866661134002
2012005089,34,42,21.811297599999996,24.0
2012005089,51,122,22.9056488,24.0
2013005179,32,82,38.632061,40.0
2013005179,133,143,38.3584732,40.0
2014007919,20,33,70.3651008,74.78918430212644
2014007919,84,140,34.283698,74.05080540131283
2014004303,26,122,19.083846774467347,30.0
2015007683,39,143,25.238928543999997,30.0
2013004516,20,28,36.9905342,39.82955210660465
2016006162,41,104,13.384793358244071,24.0
2013007003,138,143,23.573905374467373,27.57396081277274
2014003451,36,116,4.75,39.453009279936154
2015005438,8,121,21.73230082920666,40.0
2012010498,8,18,21.8112976,24.0
2016003362,3,92,18.927740794467354,29.999999994467334
2012005510,39,124,22.358473200000002,24.0
2016002456,3,94,22.24903807824407,24.0
2014005639,102,143,38.3584732,40.0
2015009018,13,96,66.88892638327789,75.0
2014003180,12,18,5.75,12.262
2014003180,27,93,5.75,70.29689932248363
2014007645,22,123,40.50256235038597,74.97787360849341
2014007645,142,143,69.39949678327787,69.97997579518305
2016008126,5,100,68.3373323832779,75.0
2015008904,39,131,28.33916111446736,30.0
2015008904,132,138,29.446387039999998,30.0
2015008904,141,143,28.33916112,29.223683613534238
2014003562,10,50,56.49258998327789,74.46628545749775
2014003562,50,111,74.80687918327786,75.0
2012010544,114,143,4.675,24.0
2013004880,4,8,22.632061,24.0
2013004880,16,21,22.358473200000002,23.86364803258933
2013004880,52,141,23.4528244,24.0
2013005932,14,99,24.46708907446736,29.537652057617098
2014003755,6,99,37.264121460541205,40.0
2016003638,43,143,39.4528238605412,40.0
2015000917,28,35,53.33733239566241,56.947802634490785
2015000917,38,102,57.03881440000001,60.0
2015006948,25,128,17.680121818244068,24.0
2014007969,25,100,21.89063806024408,24.0
2013005368,4,143,22.905648798244062,24.0
2015001244,14,143,59.18567395566239,60.0
2015007094,15,24,19.548946034467356,27.52791513212821
2015007094,29,102,26.49485747446736,30.0
2012001098,48,60,10.327427834467361,23.351427834467362
2012001098,62,120,22.244201914467364,29.45733332780067
2015006164,12,132,50.3761467956624,60.0
2015004822,24,143,4.675,23.999999998244085
2016003679,20,102,22.632061,24.0
2016003679,119,123,22.084885399999997,23.652856208127297
2016003679,142,143,22.358473200000002,22.818421366569673
2016004029,112,143,20.388641039999996,24.0
2013007614,2,108,22.358473198244074,24.0
2013007614,138,143,22.358473200000002,23.86364803258933
2013005046,20,103,27.2319352,30.0
2012010094,41,103,13.05648799824406,23.99999999824405
2016008729,13,143,28.339161114467355,30.0
2014001178,2,102,20.71694639824406,23.841911371656877
2013007098,40,104,38.75671199566241,60.0
2016006878,37,104,37.264121460541205,40.0
2015002849,45,143,12.564029958244063,23.99999999824407
2013007360,32,104,12.388933766244058,23.45733333157741
2015004731,111,143,25.326476639999996,30.0
2012005564,20,114,71.13758398327788,75.0
2014003754,3,32,67.43610198327785,75.0
2014003754,62,122,72.14181216,75.0
2016006390,24,104,32.66140906054118,40.0
2016005793,19,36,20.9905342,24.0
2016005793,44,104,21.264122,24.0
2013002811,33,42,30.698014260541218,37.223513914954935
2013002811,44,104,39.5075414205412,40.0
2016002904,40,143,46.96434599566241,60.0
2013000305,32,132,58.8895554,60.0
2013000305,139,143,59.6298518,60.0
2016008249,36,107,63.41275198327787,75.0
2014005753,18,120,74.22751679999999,75.0
2014005753,122,123,74.22751679999999,74.64837986181676
2014005753,125,143,74.22751679999999,75.0
2015000969,35,36,34.9104617105412,35.61586526989582
2015000969,40,118,37.4411494,40.0
2013000486,46,55,62.14137338327788,68.14673335205161
2013000486,56,105,74.6137584,75.0
2013000337,16,105,73.84127518327789,75.0
2014003502,33,143,20.71694639824407,24.0
2012005271,22,24,71.71694638327789,72.6102145618811
2012005271,34,117,72.6825504,75.0
2014007908,28,108,47.414961195662386,59.99999999566239
2014007908,112,143,59.259703595662394,60.0
2012006306,27,38,57.0388143956624,60.0
2012006306,54,105,59.2597036,60.0
2016008104,2,15,36.7169458605412,40.0
2016008104,20,105,38.3584732,40.0
2015008896,47,117,4.775,29.99999999446736
2012009249,50,114,5.75,69.90507102287422
2014001035,39,105,27.785548154467367,30.0
2014005854,52,106,28.892774080000002,30.0
2015008685,38,42,68.11846214327788,70.36208368192992
2015006261,43,123,22.358473198244063,24.0
2014002433,26,106,22.436101999999998,29.457333327800686
2014008434,22,24,14.63080299446736,16.801469661134025
2014008434,25,106,15.971050221134025,29.999999994467352
2016004945,42,106,12.474287394467357,29.999999994467338
2016001099,39,106,27.231935194467347,30.0
2012004387,13,106,57.82739099566239,60.0
2013007208,25,29,4.675,9.016333333333334
2013007208,31,123,8.195569933333335,23.99999999824405
2013007208,124,143,23.179236598244053,24.0
2012002845,38,106,73.45503358327788,75.0
2015000139,124,143,4.75,25.371333333333336
2016007231,36,106,5.943205200000003,23.45733333157741
2013007960,40,107,34.4155902,40.0
2016006223,34,116,4.675,24.0
2016006223,116,123,23.452824398244086,24.0
2016006223,138,143,15.792366000000001,20.848489689226643
2012003626,50,106,28.33916112,30.0
2012003626,110,129,26.12470928,29.852568773448283
2012003626,135,141,28.892774080000002,30.0
2016007850,21,143,22.905648798244073,24.0
