SP,MIP,DUoS,Time,DegradationLow (V2GB),V2G,DegradationHigh (Cenex)
25,42.52,2.1,12:00,3.2,0,8.95
26,41.58,2.1,12:30,3.2,0,
27,39.43,2.1,13:00,3.2,0,
28,38.53,2.1,13:30,3.2,0,
29,38.14,2.1,14:00,3.2,0,
30,37.03,2.1,14:30,3.2,0,
31,43.26,2.1,15:00,3.2,0,
32,43.43,2.1,15:30,3.2,0,
33,45.43,10.4,16:00,3.2,0,
34,59.2,10.4,16:30,3.2,0,
35,71.09,10.4,17:00,3.2,17.5,
36,70.99,10.4,17:30,3.2,17.5,
37,63.72,10.4,18:00,3.2,17.5,
38,59.82,10.4,18:30,3.2,0,
39,43.3,2.1,19:00,3.2,0,
40,41.39,2.1,19:30,3.2,0,
41,40.89,2.1,20:00,3.2,0,
42,41.22,2.1,20:30,3.2,0,
43,40.92,2.1,21:00,3.2,0,
44,39.28,2.1,21:30,3.2,0,
45,37.34,2.1,22:00,3.2,0,
46,37.78,2.1,22:30,3.2,0,
47,40.34,2.1,23:00,3.2,0,
48,41,2.1,23:30,3.2,0,
1,42.82,0.8,00:00,3.2,0,
2,42.21,0.8,00:30,3.2,0,
3,42.98,0.8,01:00,3.2,0,
4,40.46,0.8,01:30,3.2,0,
5,40.34,0.8,02:00,3.2,0,
6,40.24,0.8,02:30,3.2,0,
7,36.16,0.8,03:00,3.2,0,
8,35.83,0.8,03:30,3.2,0,
9,34.3,0.8,04:00,3.2,0,
10,30.97,0.8,04:30,3.2,0,
11,28.47,0.8,05:00,3.2,0,
12,31.1,0.8,05:30,3.2,0,
13,33.29,10.4,06:00,3.2,0,
14,32.41,10.4,06:30,3.2,0,
15,33.8,10.4,07:00,3.2,17.5,
16,34.13,10.4,07:30,3.2,17.5,
17,33.95,10.4,08:00,3.2,17.5,
18,34.31,10.4,08:30,3.2,0,
19,37.49,2.1,09:00,3.2,0,
20,36.33,2.1,09:30,3.2,0,
21,38.11,2.1,10:00,3.2,0,
22,38.29,2.1,10:30,3.2,0,
23,46.67,2.1,11:00,3.2,0,
24,46.13,2.1,11:30,3.2,0,
25,46.13,2.1,12:00,3.2,0,
