Node,X,Y
1,360.5,161
2,360.5,163.8
21,359.781,163.302
22,358.549,163.601
23,358.402,163.599
24,358.298,163.549
25,358.234,163.483
26,358.188,163.385
27,355.364,152.855
28,355.148,152.518
29,354.909,152.34
210,354.566,152.193
211,354.172,152.171
212,353.815,152.208
213,353.391,152.318
214,346.231,153.991
215,335.252,156.649
216,331.722,157.462
217,332.005999,157.316
218,327.901,158.343
219,332.081,157.266
220,321.558,159.919
221,332.119,157.178
222,321.452,159.907
223,332.132,157.103
224,321.251,159.907
225,332.132,156.965
226,321.101,159.895
227,332.094,156.676
228,320.925,159.845
229,331.618,150.786
230,320.724,159.744
231,331.653,150.172
232,320.561,159.656
233,320.36,159.43
234,320.184,159.217
235,320.059,158.954
236,320.033,158.891
237,319.946,158.753
238,319.879,158.361
239,319.124,150.455
240,319.001,148.617
241,319.522,148.575
242,318.73,146.284
243,318.605,145.846
244,318.459,145.492
245,318.229,145.138
246,317.896,144.784
247,317.312,144.367
248,316.896,144.013
249,316.562,143.68
250,316.354,143.451
251,316.166,143.201
252,316.041,142.868
253,315.951,142.221
254,315.822,136.62
255,315.805,136.457
256,315.691,136.262
257,315.496,136.131
258,315.349,136.001
259,315.088,135.887
260,314.795,135.789
261,314.453,135.724
262,314.11,135.659
263,313.866,135.643
264,313.54,135.643
265,312.939,135.644
266,313.383,135.48
267,308.659,135.644
268,314.003,135.113
269,308.659,135.002
270,302.667,135.894
271,314.968,134.654
272,302.596,135.216
273,300.063,135.894
274,315.657,134.149
275,300.028,135.252
276,293.643,136.072
277,316.277,133.644
278,293.536,135.466
279,292.93,136.108
280,316.668,133.23
281,292.894,135.537
282,288.869,136.084
283,316.92,132.909
284,288.466,136.099
285,317.104,132.564
286,287.455,136.13
287,317.219,132.22
288,287.455,135.555
289,282.482,136.286
290,317.265,131.256
291,282.478,135.679
292,278.28,136.398
293,317.449,131.095
294,317.334,130.199
295,278.24,135.834
296,272.839,136.493
297,317.655,131.003
298,317.419,124.708
299,272.839,135.959
2100,270.348,136.522
2101,317.793,131.003
2102,316.443,124.714
2103,317.3986807,120.7340016
2104,266.354,136.639
2105,270.35,136.394
2106,317.954,131.049
2107,316.223,124.665
2108,317.18,119.309
2109,317.3669695,114.5320002
