,Time period,name,busname,PGLB(kW),pG(kW),PGUB(kW)
0,0,1,Grid,0.0,0.0,26.25578878877311
1,1,1,Grid,0.0,0.0,23.2438482373737
2,2,1,Grid,0.0,0.0,25.17221994193165
3,3,1,Grid,0.0,0.0,24.9529440938186
4,4,1,Grid,0.0,0.0,25.45299426286205
5,5,1,Grid,0.0,0.0,27.84063292152604
6,6,1,Grid,0.0,0.0,25.80296023792037
7,7,1,Grid,0.0,0.0,26.62896851500653
8,8,1,Grid,0.0,0.0,27.19827494758978
9,9,1,Grid,0.0,0.0,26.26296022404916
10,10,1,Grid,0.0,0.0,24.62879022097489
11,11,1,Grid,0.0,0.0,23.05708900437284
12,12,1,Grid,0.0,0.0,26.15013344304838
13,13,1,Grid,0.0,0.0,26.04938921656496
14,14,1,Grid,0.0,0.0,24.96693912877451
15,15,1,Grid,0.0,0.0,24.15800147152468
16,16,1,Grid,0.0,0.0,26.27698966140218
17,17,1,Grid,0.0,0.0,24.47627229718942
18,18,1,Grid,0.0,0.0,25.58988208177482
19,19,1,Grid,0.0,0.0,23.46616046741862
20,20,1,Grid,0.0,0.0,22.23714266765449
21,21,1,Grid,0.0,0.0,24.40588933178437
22,22,1,Grid,0.0,0.0,25.85853986772417
23,23,1,Grid,0.0,0.0,21.64084047052895
24,24,1,Grid,0.0,0.0,19.02850188554639
25,25,1,Grid,0.0,0.0,18.6447884510043
26,26,1,Grid,0.0,0.0,19.39461804347572
27,27,1,Grid,0.0,0.0,20.74329277240666
28,28,1,Grid,0.0,0.0,21.94462151114844
29,29,1,Grid,0.0,0.0,23.32732895547934
30,30,1,Grid,0.0,0.0,22.47698349659389
31,31,1,Grid,0.0,0.0,21.52247696624478
32,32,1,Grid,0.0,0.0,21.14897762512917
33,33,1,Grid,0.0,0.0,23.89719287216223
34,34,1,Grid,0.0,0.0,21.19228905019342
35,35,1,Grid,0.0,0.0,20.97536337208655
36,36,1,Grid,0.0,0.0,21.39521679439532
37,37,1,Grid,0.0,0.0,20.7042941271959
38,38,1,Grid,0.0,0.0,22.53955345676819
39,39,1,Grid,0.0,0.0,20.73196437423507
40,40,1,Grid,0.0,0.0,19.79450864194376
41,41,1,Grid,0.0,0.0,20.16411989399284
42,42,1,Grid,0.0,0.0,21.19237419026878
43,43,1,Grid,0.0,0.0,22.05785098838329
44,44,1,Grid,0.0,0.0,21.91931168475964
45,45,1,Grid,0.0,0.0,21.02269954359708
46,46,1,Grid,0.0,0.0,22.77166957562567
47,47,1,Grid,0.0,0.0,23.47650707459772
48,48,1,Grid,0.0,0.0,23.55828805273742
49,49,1,Grid,0.0,0.0,22.62704734203101
50,50,1,Grid,0.0,0.0,23.650136623853
51,51,1,Grid,0.0,0.0,23.84149014222714
52,52,1,Grid,0.0,0.0,23.62281562695535
53,53,1,Grid,0.0,0.0,23.58638376793055
54,54,1,Grid,0.0,0.0,23.55367390188024
55,55,1,Grid,0.0,0.0,23.53307440959272
56,56,1,Grid,0.0,0.0,23.23510671813543
57,57,1,Grid,0.0,0.0,23.40506440377388
58,58,1,Grid,0.0,0.0,24.02702217791317
59,59,1,Grid,0.0,0.0,25.09622406969932
60,60,1,Grid,0.0,0.0,25.15707781535036
61,61,1,Grid,0.0,0.0,27.73171253937771
62,62,1,Grid,0.0,0.0,28.75551293299155
63,63,1,Grid,0.0,0.0,28.7591706003206
64,64,1,Grid,0.0,0.0,29.29156782329675
65,65,1,Grid,0.0,0.0,30.65894097297664
66,66,1,Grid,0.0,0.0,32.99754075148758
67,67,1,Grid,0.0,0.0,31.74354193040048
68,68,1,Grid,0.0,0.0,31.21677596834837
69,69,1,Grid,0.0,0.0,31.52961799476896
70,70,1,Grid,0.0,0.0,29.45230837354488
71,71,1,Grid,0.0,0.0,30.23089344035955
72,72,1,Grid,0.0,14.8,31.36247078539994
73,73,1,Grid,0.0,32.032,32.03189811291931
74,74,1,Grid,0.0,20.106,31.6538276299888
75,75,1,Grid,0.0,31.588,31.58750875975542
76,76,1,Grid,0.0,0.0,30.85766456168765
77,77,1,Grid,0.0,32.223,32.223423479545
78,78,1,Grid,0.0,31.458,31.45795319091642
79,79,1,Grid,0.0,30.352,30.35210274451013
80,80,1,Grid,0.0,31.496,31.49553914135414
81,81,1,Grid,0.0,14.8,31.65640780285527
82,82,1,Grid,0.0,0.0,30.65559991461668
83,83,1,Grid,0.0,30.352,30.35240668162946
84,84,1,Grid,0.0,7.4,31.72413149176954
85,85,1,Grid,0.0,29.6,31.82008897092406
86,86,1,Grid,0.0,22.2,32.24102415769583
87,87,1,Grid,0.0,30.51,30.5095703421229
88,88,1,Grid,0.0,31.724,31.7241443839476
89,89,1,Grid,0.0,31.06,31.06030423127798
90,90,1,Grid,0.0,22.984,32.69897939151456
91,91,1,Grid,0.0,34.181,34.18130415194649
92,92,1,Grid,0.0,32.488,32.48804249867607
93,93,1,Grid,0.0,29.6,30.69707718448559
94,94,1,Grid,0.0,32.347,32.34689965682113
95,95,1,Grid,0.0,31.835,31.83481605809886
96,96,1,Grid,0.0,30.91,30.91044494166545
97,97,1,Grid,0.0,29.472,29.47210349306326
98,98,1,Grid,0.0,7.4,28.78311285865776
99,99,1,Grid,0.0,28.808,28.80819553336678
100,100,1,Grid,0.0,29.272,29.27245208564921
101,101,1,Grid,0.0,25.08,25.08041892636558
102,102,1,Grid,0.0,24.919,24.91881792453736
103,103,1,Grid,0.0,26.392,26.39208413643118
104,104,1,Grid,0.0,26.189,26.1889804366932
105,105,1,Grid,0.0,28.52,28.51956509866206
106,106,1,Grid,0.0,29.6,29.80738306800611
107,107,1,Grid,0.0,30.852,30.85162448337703
108,108,1,Grid,0.0,29.797,29.79714462958145
109,109,1,Grid,0.0,30.146,30.1460428783816
110,110,1,Grid,0.0,8.851,28.4172591737616
111,111,1,Grid,0.0,28.227,28.22682291517549
112,112,1,Grid,0.0,29.297,29.29691456362182
113,113,1,Grid,0.0,22.2,26.39155160177514
114,114,1,Grid,0.0,26.996,26.99562307806407
115,115,1,Grid,0.0,22.2,25.22785938555861
116,116,1,Grid,0.0,14.8,25.60744636054662
117,117,1,Grid,0.0,7.4,25.64656198099963
118,118,1,Grid,0.0,0.0,24.17722020715774
119,119,1,Grid,0.0,14.8,24.7533439857542
120,120,1,Grid,0.0,25.14,25.14003598031204
121,121,1,Grid,0.0,22.2,23.87484399477163
122,122,1,Grid,0.0,14.8,24.78123922168552
123,123,1,Grid,0.0,7.4,23.68454657620375
124,124,1,Grid,0.0,23.262,23.56101697633596
125,125,1,Grid,0.0,0.0,24.31514678477332
126,126,1,Grid,0.0,0.0,24.12692792186294
127,127,1,Grid,0.0,0.0,23.85149517992093
128,128,1,Grid,0.0,0.0,24.6705435638626
129,129,1,Grid,0.0,0.0,26.24804271694371
130,130,1,Grid,0.0,0.0,24.88507231644354
131,131,1,Grid,0.0,0.0,25.20577272866283
132,132,1,Grid,0.0,0.0,25.24082017725086
133,133,1,Grid,0.0,0.0,27.12090057140659
134,134,1,Grid,0.0,0.0,28.18929864035164
135,135,1,Grid,0.0,0.0,28.44412062594626
136,136,1,Grid,0.0,0.0,29.41298748259018
137,137,1,Grid,0.0,0.0,26.89018397482039
138,138,1,Grid,0.0,0.0,26.03855156268021
139,139,1,Grid,0.0,0.0,23.90897032370446
140,140,1,Grid,0.0,0.0,25.32747181457036
141,141,1,Grid,0.0,0.0,26.36014237056101
142,142,1,Grid,0.0,0.0,25.20765870147079
143,143,1,Grid,0.0,0.0,28.7280003482737
