name,busname,stat,Minoperatingcapacity(MW),capacity(kW),battery(kWh),chargingrate(MW/hr),dischargingrate(MW/hr),ChargingEfficiency(%),DischargingEfficiency(%),dischargingcost(gbp/MWh),chargingcost(gbp/MWh)
2013002633,1,1,0,7.4,30,250,0,0.88,0,0,150
2014003448,1,1,0,7.4,30,250,0,0.88,0,0,150
2013006394,1,1,0,7.4,40,250,0,0.88,0,0,150
2013005969,1,1,0,7.4,30,250,0,0.88,0,0,150
2016007455,1,1,0,7.4,75,250,0,0.88,0,0,150
2014005837,1,1,0,7.4,30,250,0,0.88,0,0,150
2012005876,1,1,0,7.4,75,250,0,0.88,0,0,150
2015007744,1,1,0,7.4,24,250,0,0.88,0,0,150
2016006708,1,1,0,7.4,30,250,0,0.88,0,0,150
2016000791,1,1,0,7.4,24,250,0,0.88,0,0,150
2012009935,1,1,0,7.4,24,250,0,0.88,0,0,150
2012009936,1,1,0,7.4,75,250,0,0.88,0,0,150
2012003968,1,1,0,7.4,30,250,0,0.88,0,0,150
2014001576,1,1,0,7.4,40,250,0,0.88,0,0,150
2012005705,1,1,0,7.4,60,250,0,0.88,0,0,150
2012004350,1,1,0,7.4,75,250,0,0.88,0,0,150
2014007919,1,1,0,7.4,60,250,0,0.88,0,0,150
2015007683,1,1,0,7.4,30,250,0,0.88,0,0,150
2014001793,1,1,0,7.4,24,250,0,0.88,0,0,150
2016003080,1,1,0,7.4,40,250,0,0.88,0,0,150
2016001981,1,1,0,7.4,24,250,0,0.88,0,0,150
2014003516,1,1,0,7.4,40,250,0,0.88,0,0,150
2012008935,1,1,0,7.4,75,250,0,0.88,0,0,150
2012010380,1,1,0,7.4,75,250,0,0.88,0,0,150
2012006786,1,1,0,7.4,75,250,0,0.88,0,0,150
2012008974,1,1,0,7.4,24,250,0,0.88,0,0,150
2012009261,1,1,0,7.4,60,250,0,0.88,0,0,150
2013001536,1,1,0,7.4,30,250,0,0.88,0,0,150
2014003451,1,1,0,7.4,24,250,0,0.88,0,0,150
2012008860,1,1,0,7.4,75,250,0,0.88,0,0,150
2015005438,1,1,0,7.4,24,250,0,0.88,0,0,150
2016008163,1,1,0,7.4,24,250,0,0.88,0,0,150
2014001068,1,1,0,7.4,30,250,0,0.88,0,0,150
2012004209,1,1,0,7.4,30,250,0,0.88,0,0,150
2012002583,1,1,0,7.4,30,250,0,0.88,0,0,150
2016003362,1,1,0,7.4,24,250,0,0.88,0,0,150
2012000791,1,1,0,7.4,30,250,0,0.88,0,0,150
2014007252,1,1,0,7.4,60,250,0,0.88,0,0,150
2014006579,1,1,0,7.4,40,250,0,0.88,0,0,150
2012005387,1,1,0,7.4,60,250,0,0.88,0,0,150
2016008953,1,1,0,7.4,60,250,0,0.88,0,0,150
2012004760,1,1,0,7.4,24,250,0,0.88,0,0,150
2013006058,1,1,0,7.4,60,250,0,0.88,0,0,150
2015009068,1,1,0,7.4,60,250,0,0.88,0,0,150
2013000107,1,1,0,7.4,24,250,0,0.88,0,0,150
2014003097,1,1,0,7.4,24,250,0,0.88,0,0,150
2012008611,1,1,0,7.4,40,250,0,0.88,0,0,150
2012008398,1,1,0,7.4,40,250,0,0.88,0,0,150
2016004384,1,1,0,7.4,30,250,0,0.88,0,0,150
2012008428,1,1,0,7.4,24,250,0,0.88,0,0,150
2012001381,1,1,0,7.4,24,250,0,0.88,0,0,150
2016004240,1,1,0,7.4,24,250,0,0.88,0,0,150
2014003180,1,1,0,7.4,24,250,0,0.88,0,0,150
2016007770,1,1,0,7.4,24,250,0,0.88,0,0,150
2012005275,1,1,0,7.4,30,250,0,0.88,0,0,150
2016002092,1,1,0,7.4,30,250,0,0.88,0,0,150
2016003908,1,1,0,7.4,24,250,0,0.88,0,0,150
2016000840,1,1,0,7.4,30,250,0,0.88,0,0,150
2012010544,1,1,0,7.4,24,250,0,0.88,0,0,150
2015007301,1,1,0,7.4,24,250,0,0.88,0,0,150
2016004191,1,1,0,7.4,60,250,0,0.88,0,0,150
2013009190,1,1,0,7.4,60,250,0,0.88,0,0,150
2014001432,1,1,0,7.4,30,250,0,0.88,0,0,150
2016008917,1,1,0,7.4,30,250,0,0.88,0,0,150
2012004774,1,1,0,7.4,30,250,0,0.88,0,0,150
2013006526,1,1,0,7.4,30,250,0,0.88,0,0,150
2012002496,1,1,0,7.4,24,250,0,0.88,0,0,150
2013000075,1,1,0,7.4,60,250,0,0.88,0,0,150
2016009119,1,1,0,7.4,30,250,0,0.88,0,0,150
2016002203,1,1,0,7.4,30,250,0,0.88,0,0,150
2012005554,1,1,0,7.4,30,250,0,0.88,0,0,150
2014005742,1,1,0,7.4,30,250,0,0.88,0,0,150
2016004567,1,1,0,7.4,60,250,0,0.88,0,0,150
2015000917,1,1,0,7.4,30,250,0,0.88,0,0,150
2015007706,1,1,0,7.4,60,250,0,0.88,0,0,150
2016000829,1,1,0,7.4,60,250,0,0.88,0,0,150
2016003971,1,1,0,7.4,40,250,0,0.88,0,0,150
2015006270,1,1,0,7.4,40,250,0,0.88,0,0,150
2015000835,1,1,0,7.4,24,250,0,0.88,0,0,150
2012005696,1,1,0,7.4,40,250,0,0.88,0,0,150
2015001903,1,1,0,7.4,30,250,0,0.88,0,0,150
2015000565,1,1,0,7.4,60,250,0,0.88,0,0,150
2013008450,1,1,0,7.4,30,250,0,0.88,0,0,150
2015009163,1,1,0,7.4,30,250,0,0.88,0,0,150
2016008014,1,1,0,7.4,24,250,0,0.88,0,0,150
2015001244,1,1,0,7.4,75,250,0,0.88,0,0,150
2012007474,1,1,0,7.4,75,250,0,0.88,0,0,150
2015002172,1,1,0,7.4,24,250,0,0.88,0,0,150
2015000944,1,1,0,7.4,75,250,0,0.88,0,0,150
2015007094,1,1,0,7.4,30,250,0,0.88,0,0,150
2012009644,1,1,0,7.4,75,250,0,0.88,0,0,150
2015005115,1,1,0,7.4,24,250,0,0.88,0,0,150
2015006164,1,1,0,7.4,24,250,0,0.88,0,0,150
2016008694,1,1,0,7.4,24,250,0,0.88,0,0,150
2015007833,1,1,0,7.4,24,250,0,0.88,0,0,150
2015003283,1,1,0,7.4,24,250,0,0.88,0,0,150
2012003562,1,1,0,7.4,60,250,0,0.88,0,0,150
2015004822,1,1,0,7.4,60,250,0,0.88,0,0,150
2016009167,1,1,0,7.4,24,250,0,0.88,0,0,150
2013007854,1,1,0,7.4,24,250,0,0.88,0,0,150
2016001332,1,1,0,7.4,30,250,0,0.88,0,0,150
2012005378,1,1,0,7.4,60,250,0,0.88,0,0,150
2012005866,1,1,0,7.4,24,250,0,0.88,0,0,150
2016001507,1,1,0,7.4,75,250,0,0.88,0,0,150
2014004541,1,1,0,7.4,30,250,0,0.88,0,0,150
2016000633,1,1,0,7.4,40,250,0,0.88,0,0,150
2016003385,1,1,0,7.4,75,250,0,0.88,0,0,150
2013005525,1,1,0,7.4,24,250,0,0.88,0,0,150
2014000785,1,1,0,7.4,60,250,0,0.88,0,0,150
2014005292,1,1,0,7.4,75,250,0,0.88,0,0,150
2015006989,1,1,0,7.4,75,250,0,0.88,0,0,150
2014001624,1,1,0,7.4,24,250,0,0.88,0,0,150
2015004092,1,1,0,7.4,60,250,0,0.88,0,0,150
2012004645,1,1,0,7.4,24,250,0,0.88,0,0,150
2013000946,1,1,0,7.4,75,250,0,0.88,0,0,150
2013003959,1,1,0,7.4,75,250,0,0.88,0,0,150
2013001293,1,1,0,7.4,40,250,0,0.88,0,0,150
2013006968,1,1,0,7.4,24,250,0,0.88,0,0,150
2012009409,1,1,0,7.4,60,250,0,0.88,0,0,150
2012010469,1,1,0,7.4,40,250,0,0.88,0,0,150
2016007039,1,1,0,7.4,30,250,0,0.88,0,0,150
2014004281,1,1,0,7.4,24,250,0,0.88,0,0,150
2016001814,1,1,0,7.4,60,250,0,0.88,0,0,150
2013007098,1,1,0,7.4,24,250,0,0.88,0,0,150
2015007322,1,1,0,7.4,30,250,0,0.88,0,0,150
2014002496,1,1,0,7.4,75,250,0,0.88,0,0,150
2015000975,1,1,0,7.4,60,250,0,0.88,0,0,150
2012005564,1,1,0,7.4,24,250,0,0.88,0,0,150
2016007089,1,1,0,7.4,30,250,0,0.88,0,0,150
