name,t_in,t_out,EStart,EEnd
2013002633,21,117,8.962707514467354,29.999999994467338
2014003448,56,114,16.01000737446735,29.457333327800676
2013006394,61,129,5.081561927076326,39.97723668811902
2013005969,0,143,6.78194632089219,29.99999999446737
2016007455,37,123,8.42190196997211,74.08467314711464
2014005837,78,143,13.945224154467363,29.999999994467345
2012005876,76,136,26.462056689493956,72.70488721322027
2015007744,64,104,5.696976178244066,23.453644256625715
2016006708,28,143,5.433489698229877,29.999999994467338
2016000791,72,136,7.777319337296664,23.999999998244093
2012009935,37,118,10.252213048244064,23.782933331577414
2012009936,21,114,57.66740818327788,74.99390348107266
2012003968,51,117,4.775,29.99999999446736
2014001576,68,143,4.75,39.4487781834463
2012005705,38,114,7.264189459419216,60.0
2012004350,54,143,11.706028918617019,74.93369983920005
2014007919,84,140,16.612193595662397,59.46672884794343
2015007683,39,143,5.166786004043467,29.99999999446735
2014001793,88,143,8.350777838244056,24.0
2016003080,46,117,6.5299643304043915,39.98737269870238
2016001981,35,118,4.675,23.56586666491075
2014003516,122,143,4.75,27.542
2012008935,39,116,47.96308798327789,74.8869346390108
2012010380,8,143,5.75,75.0
2012006786,15,87,7.960724587743383,72.19662731392094
2012008974,60,126,8.416620273122673,24.0
2012009261,17,89,23.225677749185746,59.87074712151781
2013001536,122,129,16.768650250467356,24.355055835111713
2014003451,36,116,4.675,23.45733333157742
2012008860,36,126,5.75,74.18256931790293
2015005438,8,121,11.301087309728269,24.0
2016008163,75,90,5.283154360485895,21.06664074455778
2014001068,96,143,12.47428739446736,29.99762246508572
2012004209,39,110,4.775,29.99999999446736
2012002583,46,92,6.863119354766864,29.439982639684004
2016003362,3,92,13.05648799824406,23.99999999824405
2012000791,19,22,4.775,8.031
2012000791,26,92,7.694453706666667,29.999999994467355
2014007252,39,102,8.199766682426713,58.89910605200902
2014006579,36,93,15.538031460541202,39.97259608263009
2012005387,36,143,7.794826119297579,59.99040829586647
2016008953,25,126,6.42415092334529,59.97037048304423
2012004760,24,105,8.183254301443245,23.999999998244054
2013006058,15,93,12.898979755106918,59.81794366833003
2015009068,66,141,11.55138808038426,59.72730535279352
2013000107,45,135,5.726318213002927,23.999999998244057
2014003097,50,91,13.704221869000317,23.565866664910754
2012008611,26,92,19.513101260541205,39.45276765545378
2012008398,21,94,14.878202060541188,39.996635212091604
