name,busname,stat,Minoperatingcapacity(MW),capacity(kW),battery(kWh),chargingrate(MW/hr),dischargingrate(MW/hr),ChargingEfficiency(%),DischargingEfficiency(%),dischargingcost(gbp/MWh),chargingcost(gbp/MWh)
2014004958,1,1,0,7.4,40,250,0,0.88,0,0,150
2016005986,1,1,0,7.4,75,250,0,0.88,0,0,150
2012002587,1,1,0,7.4,40,250,0,0.88,0,0,150
2013002633,1,1,0,7.4,60,250,0,0.88,0,0,150
2014003448,1,1,0,7.4,75,250,0,0.88,0,0,150
2013006394,1,1,0,7.4,40,250,0,0.88,0,0,150
2013005969,1,1,0,7.4,60,250,0,0.88,0,0,150
2016004735,1,1,0,7.4,75,250,0,0.88,0,0,150
2012005613,1,1,0,7.4,30,250,0,0.88,0,0,150
2013005293,1,1,0,7.4,24,250,0,0.88,0,0,150
2014000743,1,1,0,7.4,60,250,0,0.88,0,0,150
2016003271,1,1,0,7.4,60,250,0,0.88,0,0,150
2015008802,1,1,0,7.4,40,250,0,0.88,0,0,150
2012007347,1,1,0,7.4,30,250,0,0.88,0,0,150
2013007694,1,1,0,7.4,60,250,0,0.88,0,0,150
2014000195,1,1,0,7.4,40,250,0,0.88,0,0,150
2016007455,1,1,0,7.4,60,250,0,0.88,0,0,150
2014005837,1,1,0,7.4,60,250,0,0.88,0,0,150
2012005876,1,1,0,7.4,60,250,0,0.88,0,0,150
2016003551,1,1,0,7.4,40,250,0,0.88,0,0,150
2016003673,1,1,0,7.4,30,250,0,0.88,0,0,150
2015008700,1,1,0,7.4,30,250,0,0.88,0,0,150
2015007744,1,1,0,7.4,60,250,0,0.88,0,0,150
2013008124,1,1,0,7.4,40,250,0,0.88,0,0,150
2014004331,1,1,0,7.4,40,250,0,0.88,0,0,150
2016006542,1,1,0,7.4,75,250,0,0.88,0,0,150
2013008277,1,1,0,7.4,30,250,0,0.88,0,0,150
2013005260,1,1,0,7.4,60,250,0,0.88,0,0,150
2016006708,1,1,0,7.4,24,250,0,0.88,0,0,150
2014002383,1,1,0,7.4,30,250,0,0.88,0,0,150
2016000791,1,1,0,7.4,75,250,0,0.88,0,0,150
2012009935,1,1,0,7.4,40,250,0,0.88,0,0,150
2015005734,1,1,0,7.4,24,250,0,0.88,0,0,150
2012009936,1,1,0,7.4,24,250,0,0.88,0,0,150
2013008834,1,1,0,7.4,30,250,0,0.88,0,0,150
2014005039,1,1,0,7.4,60,250,0,0.88,0,0,150
2012004652,1,1,0,7.4,30,250,0,0.88,0,0,150
2015003426,1,1,0,7.4,30,250,0,0.88,0,0,150
2014005621,1,1,0,7.4,75,250,0,0.88,0,0,150
2012005971,1,1,0,7.4,30,250,0,0.88,0,0,150
2012003968,1,1,0,7.4,60,250,0,0.88,0,0,150
2014002878,1,1,0,7.4,75,250,0,0.88,0,0,150
2014001576,1,1,0,7.4,60,250,0,0.88,0,0,150
2013004299,1,1,0,7.4,24,250,0,0.88,0,0,150
2014004487,1,1,0,7.4,24,250,0,0.88,0,0,150
2012005089,1,1,0,7.4,24,250,0,0.88,0,0,150
2015002229,1,1,0,7.4,40,250,0,0.88,0,0,150
2015000751,1,1,0,7.4,60,250,0,0.88,0,0,150
2014008081,1,1,0,7.4,30,250,0,0.88,0,0,150
2012005705,1,1,0,7.4,40,250,0,0.88,0,0,150
2012004350,1,1,0,7.4,40,250,0,0.88,0,0,150
2012001724,1,1,0,7.4,60,250,0,0.88,0,0,150
2016003249,1,1,0,7.4,24,250,0,0.88,0,0,150
2016007537,1,1,0,7.4,75,250,0,0.88,0,0,150
2013005179,1,1,0,7.4,40,250,0,0.88,0,0,150
2012005614,1,1,0,7.4,60,250,0,0.88,0,0,150
2013007449,1,1,0,7.4,75,250,0,0.88,0,0,150
2015005717,1,1,0,7.4,75,250,0,0.88,0,0,150
2013006167,1,1,0,7.4,24,250,0,0.88,0,0,150
2012009928,1,1,0,7.4,30,250,0,0.88,0,0,150
2014008497,1,1,0,7.4,30,250,0,0.88,0,0,150
2012009842,1,1,0,7.4,40,250,0,0.88,0,0,150
2014007919,1,1,0,7.4,75,250,0,0.88,0,0,150
2012004813,1,1,0,7.4,24,250,0,0.88,0,0,150
2014004303,1,1,0,7.4,30,250,0,0.88,0,0,150
2015007683,1,1,0,7.4,30,250,0,0.88,0,0,150
2016001745,1,1,0,7.4,60,250,0,0.88,0,0,150
2013004516,1,1,0,7.4,40,250,0,0.88,0,0,150
2013009353,1,1,0,7.4,75,250,0,0.88,0,0,150
2014008463,1,1,0,7.4,60,250,0,0.88,0,0,150
2014001793,1,1,0,7.4,75,250,0,0.88,0,0,150
2015006765,1,1,0,7.4,40,250,0,0.88,0,0,150
2014006388,1,1,0,7.4,30,250,0,0.88,0,0,150
2016003079,1,1,0,7.4,75,250,0,0.88,0,0,150
2016003080,1,1,0,7.4,75,250,0,0.88,0,0,150
2015005341,1,1,0,7.4,30,250,0,0.88,0,0,150
