name,t_in,t_out,EStart,EEnd
2014004958,36,120,38.3584732,40.0
2016005986,2,114,68.82013438327789,75.0
2012002587,25,28,38.358473200000006,39.566619471884
2012002587,32,34,39.7264122,40.0
2012002587,42,123,39.7264122,40.0
2012002587,142,143,35.075419600000004,35.72110822578104
2013002633,21,117,39.271700800000005,59.99999999566238
2014003448,32,42,59.9204842,67.41286528119359
2014003448,56,114,71.91006718327786,75.0
2013006394,61,129,38.632061,40.0
2013005969,0,143,59.03354983152169,60.0
2016004735,4,12,72.83704704,75.0
2016004735,17,75,74.15026848,75.0
2016004735,108,132,74.76825504,75.0
2016004735,141,143,72.02593968000001,72.93321821176853
2012005613,15,128,24.222469394467353,30.0
2013005293,74,143,20.716946399999998,23.841911372269045
2014000743,21,122,59.259703599999995,60.0
2014000743,126,143,58.149259,60.0
2016003271,32,117,57.77911079566239,60.0
2015008802,9,20,38.3584732,40.0
2015008802,24,123,38.57734344,40.0
2012007347,32,106,25.081856959999996,29.65849798027912
2013007694,22,124,53.78151024000001,60.0
2014000195,39,116,36.7169464,40.0
2016007455,37,123,53.5224065,60.0
2014005837,78,143,38.531404395662406,59.9376523909602
2012005876,76,136,48.155257600000006,59.43911876912169
2016003551,17,138,38.0848848605412,40.0
2016003673,13,20,22.48196819,27.82331992430918
2016003673,22,26,29.391025738467345,30.0
2016003673,62,122,22.96074684,30.0
2015008700,21,143,21.695805594467352,29.99999999446736
2015007744,25,61,48.3161916,59.56372428126436
2015007744,64,104,56.1053972,60.0
2013008124,39,51,32.88671720000001,38.64159993532143
2013008124,67,143,38.9056488,40.0
2014004331,38,42,36.1697702605412,38.15924492421314
2014004331,56,143,34.528244,40.0
2016006542,19,30,73.068792,75.0
2016006542,34,120,72.6825504,75.0
2016006542,122,135,73.84127520000001,75.0
2016006542,139,141,72.6825504,73.5510083956325
2013008277,37,124,28.06235464,30.0
2013005260,37,138,59.2597036,60.0
2016006708,28,143,21.264121998244068,24.0
2014002383,24,40,29.280303152000002,30.0
2014002383,61,63,29.335664448,30.0
2014002383,66,143,29.280303152000002,30.0
2016000791,19,33,68.82013438327787,74.13151871344493
2016000791,41,71,73.068792,75.0
2016000791,72,136,74.034396,75.0
2012009935,37,118,30.545127500000003,39.78281090137996
2015005734,20,122,17.23690958224407,23.457333331577388
2012009936,21,114,10.676274138244064,23.999999998244082
2013008834,26,34,12.007578794467353,20.69024546113402
2013008834,77,143,17.09176122113402,29.565866661134002
2014005039,22,41,58.519407199999996,60.0
2014005039,66,120,51.85673960000001,60.0
2012004652,7,143,24.463870399999998,30.0
2015003426,48,114,25.847902794467355,30.0
2014005621,18,127,59.550335983277876,74.9999999832779
2012005971,21,134,27.2319352,30.0
2012003968,51,117,26.010739195662406,59.819356359635705
2014002878,43,111,59.12386089999999,74.8982808405652
2014001576,68,143,5.5,59.01897941231752
2013004299,16,20,22.68677856,23.922395992560414
2013004299,22,24,23.80848854,24.0
2013004299,30,34,21.86601516,23.54455315454909
2013004299,44,78,22.98772514,24.0
2013004299,117,123,22.30375564,24.0
2014004487,12,25,22.139602959999998,24.0
2014004487,29,143,20.552793719999997,24.0
2012005089,34,42,21.811297599999996,24.0
2012005089,51,122,22.9056488,24.0
2015002229,56,143,39.452823860541194,40.0
2015000751,21,70,50.376146795662414,60.0
2015000751,122,143,57.03881440000001,60.0
2014008081,126,143,29.16958056,30.0
2012005705,38,114,32.331494899999996,40.0
2012004350,10,28,36.459452,40.0
2012004350,38,46,37.811297599999996,40.0
2012004350,54,143,39.4528244,40.0
2012001724,54,124,52.033767000000005,60.0
2016003249,79,143,23.4528244,24.0
2016007537,23,39,74.6137584,75.0
2016007537,42,57,71.9100672,75.0
2016007537,60,122,71.9100672,75.0
2016007537,124,143,74.6137584,75.0
2013005179,32,82,38.632061,40.0
2013005179,133,143,38.3584732,40.0
2012005614,52,143,50.343959999999996,59.77798679411782
2013007449,24,102,60.6285938,74.9767341377912
2015005717,68,143,69.0776288,75.0
2013006167,104,143,18.528243998244065,23.45733333157742
2012009928,21,125,29.446387039999998,30.0
2014008497,9,80,26.678322234467355,30.0
2012009842,0,80,38.7769016,40.0
2012009842,129,137,38.7769016,40.0
2012009842,140,143,38.3584732,39.51843532953514
2014007919,20,33,70.3651008,74.78918430212644
2014007919,84,140,34.283698,74.05080540131283
2012004813,22,42,23.4528244,24.0
2012004813,79,143,23.4528244,24.0
2014004303,26,122,19.083846774467347,30.0
2015007683,39,143,25.238928543999997,30.0
2016001745,0,143,59.15360864477962,60.0
2013004516,20,28,36.9905342,39.82955210660465
2013009353,2,143,55.011997183277884,74.99999998327786
2014008463,84,143,55.558221599999996,60.0
2014001793,88,143,55.75229358327788,75.0
2015006765,6,22,36.716946400000005,40.0
2015006765,68,143,38.9056488,40.0
2014006388,8,33,26.789044832,30.0
2014006388,35,124,28.726690192,30.0
2014006388,126,143,28.726690192,30.0
2016003079,17,130,70.36510078327787,75.0
2016003080,46,117,18.40972423484565,73.60040218847081
2015005341,22,34,29.446387039999998,30.0
2015005341,85,143,25.847902800000004,30.0
2015002578,43,47,73.45503360000001,74.9938148382189
2015002578,82,142,73.45503360000001,75.0
2012002113,18,143,22.16696174,24.0
2013005579,122,143,52.2107944,59.40226000752161
2016001981,35,118,22.648169783277876,74.1455888350071
2014007834,88,143,50.3761468,59.73146392539275
2012005123,7,42,29.307983800000002,30.0
2012005123,43,55,28.865093432000002,30.0
2012005123,57,84,29.141899912,30.0
2012005142,4,87,24.74228621446736,30.0
2014003516,122,143,4.775,26.918760440369113
